TripID,TripDuration,TripDistance,StartTime,EndTime,StartCenterlineID,StartCenterlineType,EndCenterlineID,EndCenterlineType,ObjectId,StartAddress,EndAddress
205643,1013,19,7/7/2019 4:30:00 PM,7/7/2019 5:00:00 PM,10001.00,street,10001.00,street,34329,800 DOWLING AVE N,800 DOWLING AVE N
205688,1399,39,7/7/2019 5:30:00 PM,7/7/2019 6:00:00 PM,10001.00,street,10001.00,street,34715,800 DOWLING AVE N,800 DOWLING AVE N
213148,4469,6,7/14/2019 6:00:00 PM,7/14/2019 7:00:00 PM,10001.00,street,10001.00,street,75739,800 DOWLING AVE N,800 DOWLING AVE N
213147,4450,5,7/14/2019 6:00:00 PM,7/14/2019 7:00:00 PM,10001.00,street,10001.00,street,75831,800 DOWLING AVE N,800 DOWLING AVE N
213662,173,10,7/14/2019 9:00:00 PM,7/14/2019 9:30:00 PM,10001.00,street,10001.00,street,76883,800 DOWLING AVE N,800 DOWLING AVE N
213668,70,10,7/14/2019 9:30:00 PM,7/14/2019 9:30:00 PM,10001.00,street,10001.00,street,77128,800 DOWLING AVE N,800 DOWLING AVE N
205594,269,37,7/7/2019 4:00:00 PM,7/7/2019 4:00:00 PM,10364.00,street,10001.00,street,33668,3800 ALDRICH AVE N,800 DOWLING AVE N
213143,4514,10,7/14/2019 6:00:00 PM,7/14/2019 7:00:00 PM,10364.00,street,10001.00,street,75642,3800 ALDRICH AVE N,800 DOWLING AVE N
198350,339,240,7/6/2019 11:00:00 AM,7/6/2019 11:30:00 AM,10008.00,street,10005.00,street,24857,3800 FREMONT AVE N,1100 DOWLING AVE N
217925,121,386,7/14/2019 4:30:00 PM,7/14/2019 4:30:00 PM,10006.00,street,10006.00,street,75120,3800 EMERSON AVE N,3800 EMERSON AVE N
217945,147,547,7/14/2019 5:00:00 PM,7/14/2019 5:00:00 PM,10006.00,street,10006.00,street,75271,3800 EMERSON AVE N,3800 EMERSON AVE N
217920,812,2397,7/14/2019 4:30:00 PM,7/14/2019 4:30:00 PM,10008.00,street,10006.00,street,75019,3800 FREMONT AVE N,3800 EMERSON AVE N
225650,5274,8533,7/8/2019 5:30:00 PM,7/8/2019 7:00:00 PM,10386.00,street,10006.00,street,38941,1200 33RD AVE N,3800 EMERSON AVE N
205307,935,1174,7/6/2019 7:00:00 PM,7/6/2019 7:00:00 PM,10008.00,street,10008.00,street,29608,3800 FREMONT AVE N,3800 FREMONT AVE N
281150,1057,1528,7/20/2019 4:30:00 PM,7/20/2019 5:00:00 PM,10008.00,street,10008.00,street,106575,3800 FREMONT AVE N,3800 FREMONT AVE N
283239,2402,3073,7/23/2019 9:00:00 PM,7/23/2019 9:30:00 PM,10008.00,street,10008.00,street,125791,3800 FREMONT AVE N,3800 FREMONT AVE N
360435,3629,9495,7/29/2019 7:00:00 PM,7/29/2019 8:00:00 PM,10008.00,street,10008.00,street,162376,3800 FREMONT AVE N,3800 FREMONT AVE N
197021,1099,3035,7/5/2019 7:30:00 PM,7/5/2019 8:00:00 PM,10587.00,street,10008.00,street,23975,1200 29TH AVE N,3800 FREMONT AVE N
244395,543,3027,7/13/2019 9:00:00 AM,7/13/2019 9:00:00 AM,10898.00,street,10008.00,street,63321,2700 30TH AVE N,3800 FREMONT AVE N
287046,4290,4879,7/21/2019 12:30:00 PM,7/21/2019 2:00:00 PM,15076.00,street,10008.00,street,110326,1100 WEST BROADWAY,3800 FREMONT AVE N
196930,100,102,7/5/2019 6:30:00 PM,7/5/2019 6:30:00 PM,10008.00,street,10009.00,street,23805,3800 FREMONT AVE N,3700 FREMONT AVE N
239725,274,65,7/12/2019 9:00:00 AM,7/12/2019 9:00:00 AM,10008.00,street,10009.00,street,56086,3800 FREMONT AVE N,3700 FREMONT AVE N
218468,4747,13486,7/15/2019 4:00:00 PM,7/15/2019 5:30:00 PM,10008.00,street,10009.00,street,80144,3800 FREMONT AVE N,3700 FREMONT AVE N
218466,5687,13969,7/15/2019 4:00:00 PM,7/15/2019 5:30:00 PM,10008.00,street,10009.00,street,80299,3800 FREMONT AVE N,3700 FREMONT AVE N
273884,4796,9044,7/17/2019 1:00:00 PM,7/17/2019 2:00:00 PM,10008.00,street,10009.00,street,88327,3800 FREMONT AVE N,3700 FREMONT AVE N
282388,1544,869,7/22/2019 3:00:00 PM,7/22/2019 3:30:00 PM,10008.00,street,10009.00,street,116920,3800 FREMONT AVE N,3700 FREMONT AVE N
237018,6353,2221,7/11/2019 3:30:00 PM,7/11/2019 5:30:00 PM,10009.00,street,10009.00,street,52500,3700 FREMONT AVE N,3700 FREMONT AVE N
239688,86,13,7/12/2019 9:00:00 AM,7/12/2019 9:00:00 AM,10009.00,street,10009.00,street,56098,3700 FREMONT AVE N,3700 FREMONT AVE N
238732,450,1850,7/11/2019 8:00:00 PM,7/11/2019 8:30:00 PM,18150.00,street,10009.00,street,54914,1000 43RD AVE N,3700 FREMONT AVE N
301883,6827,10182,7/24/2019 6:30:00 PM,7/24/2019 8:00:00 PM,10723.00,street,10011.00,street,131661,2900 QUEEN AVE N,3700 BRYANT AVE N
343650,185,757,7/31/2019 6:30:00 PM,7/31/2019 6:30:00 PM,10012.00,street,10012.00,street,174476,800 37TH AVE N,800 37TH AVE N
332131,4622,16380,7/29/2019 11:30:00 AM,7/29/2019 12:30:00 PM,11680.00,street,10012.00,street,158034,3800 OAKLAND AVE,800 37TH AVE N
314072,847,3388,7/27/2019 2:00:00 PM,7/27/2019 2:30:00 PM,15640.00,street,10012.00,street,148825,1000 14TH AVE N,800 37TH AVE N
343260,1420,3308,7/31/2019 5:30:00 PM,7/31/2019 5:30:00 PM,18269.00,street,10012.00,street,174314,3400 EMERSON AVE N,800 37TH AVE N
230625,692,3345,7/10/2019 8:30:00 AM,7/10/2019 8:30:00 AM,19606.00,street,10015.00,street,45137,1800 HILLSIDE AVE N,700 36TH AVE N
256299,927,57,7/15/2019 7:30:00 PM,7/15/2019 7:30:00 PM,15204.00,street,10017.00,street,81099,2200 MCNAIR AVE,800 36TH AVE N
205343,303,418,7/6/2019 8:00:00 PM,7/6/2019 8:30:00 PM,10018.00,street,10018.00,street,30206,3600 BRYANT AVE N,3600 BRYANT AVE N
204953,468,2494,7/6/2019 11:00:00 AM,7/6/2019 11:00:00 AM,14925.00,street,10018.00,street,25396,2300 DUPONT AVE N,3600 BRYANT AVE N
205011,1055,3427,7/6/2019 12:30:00 PM,7/6/2019 1:00:00 PM,16142.00,street,10018.00,street,25800,1700 GIRARD AVE N,3600 BRYANT AVE N
222571,1881,5054,7/7/2019 8:00:00 PM,7/7/2019 8:30:00 PM,10578.00,street,10020.00,street,35377,700 29TH AVE N,1100 36TH AVE N
222572,1999,4061,7/7/2019 8:00:00 PM,7/7/2019 8:30:00 PM,10578.00,street,10020.00,street,35533,700 29TH AVE N,1100 36TH AVE N
222686,523,3235,7/7/2019 8:30:00 PM,7/7/2019 8:30:00 PM,10581.00,street,10020.00,street,35892,2700 LYNDALE AVE N,1100 36TH AVE N
290076,1928,1597,7/21/2019 8:00:00 PM,7/21/2019 8:30:00 PM,18264.00,street,10020.00,street,114757,3500 4TH ST N,1100 36TH AVE N
273911,1696,4248,7/17/2019 2:30:00 PM,7/17/2019 3:00:00 PM,10009.00,street,10022.00,street,88894,3700 FREMONT AVE N,3600 FREMONT AVE N
282523,9600,9350,7/22/2019 4:00:00 PM,7/22/2019 7:00:00 PM,10009.00,street,10022.00,street,117591,3700 FREMONT AVE N,3600 FREMONT AVE N
282536,728,1142,7/22/2019 7:00:00 PM,7/22/2019 7:00:00 PM,10022.00,street,10022.00,street,119093,3600 FREMONT AVE N,3600 FREMONT AVE N
278428,1058,2390,7/18/2019 7:00:00 PM,7/18/2019 7:00:00 PM,15960.00,street,10022.00,street,97467,900 WEST BROADWAY,3600 FREMONT AVE N
273684,1008,4522,7/16/2019 9:00:00 PM,7/16/2019 9:30:00 PM,10008.00,street,10023.00,street,85943,3800 FREMONT AVE N,1300 DOWLING AVE N
273894,5505,10702,7/17/2019 1:00:00 PM,7/17/2019 2:30:00 PM,10008.00,street,10023.00,street,88359,3800 FREMONT AVE N,1300 DOWLING AVE N
204325,1420,2558,7/4/2019 12:30:00 PM,7/4/2019 1:00:00 PM,10023.00,street,10023.00,street,14803,1300 DOWLING AVE N,1300 DOWLING AVE N
237853,6771,1818,7/11/2019 5:30:00 PM,7/11/2019 7:30:00 PM,10023.00,street,10023.00,street,53251,1300 DOWLING AVE N,1300 DOWLING AVE N
237975,5601,301,7/11/2019 6:00:00 PM,7/11/2019 7:30:00 PM,10023.00,street,10023.00,street,53866,1300 DOWLING AVE N,1300 DOWLING AVE N
216207,926,804,7/11/2019 6:00:00 PM,7/11/2019 6:00:00 PM,10023.00,street,10023.00,street,53902,1300 DOWLING AVE N,1300 DOWLING AVE N
216212,76,16,7/11/2019 6:30:00 PM,7/11/2019 6:30:00 PM,10023.00,street,10023.00,street,54279,1300 DOWLING AVE N,1300 DOWLING AVE N
195104,845,1228,7/5/2019 2:00:00 PM,7/5/2019 2:00:00 PM,10417.00,street,10023.00,street,21827,3400 FREMONT AVE N,1300 DOWLING AVE N
260890,370,2765,7/17/2019 11:30:00 AM,7/17/2019 11:30:00 AM,10417.00,street,10023.00,street,87555,3400 FREMONT AVE N,1300 DOWLING AVE N
250933,576,2663,7/14/2019 1:00:00 PM,7/14/2019 1:30:00 PM,15076.00,street,10023.00,street,73003,1100 WEST BROADWAY,1300 DOWLING AVE N
287152,1520,3037,7/21/2019 1:00:00 PM,7/21/2019 1:00:00 PM,15076.00,street,10023.00,street,110171,1100 WEST BROADWAY,1300 DOWLING AVE N
343667,578,691,7/31/2019 6:30:00 PM,7/31/2019 6:30:00 PM,18279.00,street,10023.00,street,174568,1400 37TH AVE N,1300 DOWLING AVE N
238568,1601,7314,7/11/2019 7:30:00 PM,7/11/2019 8:00:00 PM,25918.00,street,10023.00,street,54675,0 6TH AVE N,1300 DOWLING AVE N
273666,300,981,7/16/2019 8:30:00 PM,7/16/2019 8:30:00 PM,10008.00,street,10025.00,street,85679,3800 FREMONT AVE N,1400 DOWLING AVE N
252862,537,1220,7/14/2019 6:30:00 PM,7/14/2019 6:30:00 PM,10025.00,street,10025.00,street,76274,1400 DOWLING AVE N,1400 DOWLING AVE N
253310,215,182,7/14/2019 10:00:00 PM,7/14/2019 10:00:00 PM,10025.00,street,10025.00,street,77082,1400 DOWLING AVE N,1400 DOWLING AVE N
245254,560,2061,7/13/2019 11:30:00 AM,7/13/2019 12:00:00 PM,10176.00,street,10025.00,street,64083,3200 PENN AVE N,1400 DOWLING AVE N
259108,444,1613,7/16/2019 6:30:00 PM,7/16/2019 6:30:00 PM,10224.00,street,10025.00,street,84878,2600 DOWLING AVE N,1400 DOWLING AVE N
317966,262,1304,7/20/2019 7:30:00 PM,7/20/2019 7:30:00 PM,10224.00,street,10025.00,street,107892,2600 DOWLING AVE N,1400 DOWLING AVE N
253268,250,854,7/14/2019 9:30:00 PM,7/14/2019 9:30:00 PM,10233.00,street,10025.00,street,77123,3400 OLIVER AVE N,1400 DOWLING AVE N
238426,571,293,7/11/2019 7:00:00 PM,7/11/2019 7:30:00 PM,10238.00,street,10025.00,street,54116,1500 DOWLING AVE N,1400 DOWLING AVE N
297070,230,177,7/23/2019 6:00:00 PM,7/23/2019 6:00:00 PM,10238.00,street,10025.00,street,124138,1500 DOWLING AVE N,1400 DOWLING AVE N
